CustomerID,Gender,CityTier,MaritalStatus,NumberOfAddress
50001,Female,3,Single,9
50002,Male,1,Single,7
50003,Male,1,Single,6
50004,Male,3,Single,8
50005,Male,1,Single,3
50006,Female,1,Single,2
50007,Male,3,Divorced,4
50008,Male,1,Divorced,3
50009,Male,3,Divorced,2
50010,Male,1,Single,2
50011,Female,1,Divorced,2
50012,Male,1,Single,10
50013,Male,1,Single,2
50014,Male,1,Divorced,1
50015,Male,3,Single,2
50016,Male,2,Married,5
50017,Female,1,Single,2
50018,Male,3,Single,2
50019,Male,1,Single,2
50020,Female,1,Divorced,10
50021,Male,3,Divorced,5
50022,Female,1,Divorced,2
50023,Male,3,Single,2
50024,Female,3,Divorced,4
50025,Male,1,Single,3
50026,Female,1,Single,8
50027,Male,3,Divorced,2
50028,Male,3,Divorced,3
50029,Male,1,Married,9
50030,Female,3,Single,2
50031,Male,1,Divorced,2
50032,Male,1,Divorced,3
50033,Female,1,Divorced,5
50034,Male,3,Divorced,8
50035,Female,3,Divorced,7
50036,Male,1,Divorced,2
50037,Male,1,Married,7
50038,Male,1,Divorced,2
50039,Male,1,Married,4
50040,Male,1,Married,2
50041,Female,1,Single,4
50042,Male,1,Married,5
50043,Female,3,Divorced,3
50044,Female,3,Single,5
50045,Male,1,Single,4
50046,Male,1,Divorced,1
50047,Female,3,Single,1
50048,Male,1,Single,5
50049,Male,1,Married,2
50050,Female,3,Married,5
50051,Female,1,Married,5
50052,Male,1,Single,1
50053,Male,1,Single,2
50054,Female,3,Married,2
50055,Female,1,Single,2
50056,Female,1,Divorced,9
50057,Female,1,Single,3
50058,Female,3,Single,2
50059,Male,1,Divorced,3
50060,Female,1,Married,2
50061,Female,1,Divorced,2
50062,Female,1,Divorced,2
50063,Male,1,Single,9
50064,Male,1,Divorced,2
50065,Female,1,Single,4
50066,Male,1,Divorced,1
50067,Female,1,Single,2
50068,Male,1,Divorced,4
50069,Male,1,Married,5
50070,Male,1,Divorced,10
50071,Male,1,Divorced,2
50072,Female,1,Single,6
50073,Female,1,Married,3
50074,Male,1,Divorced,10
50075,Male,1,Divorced,4
50076,Male,1,Divorced,6
50077,Male,1,Married,2
50078,Male,1,Married,2
50079,Male,1,Divorced,9
50080,Male,1,Divorced,8
50081,Female,3,Divorced,2
50082,Male,1,Married,2
50083,Female,1,Single,2
50084,Male,1,Divorced,10
50085,Male,1,Married,8
50086,Male,3,Divorced,2
50087,Male,1,Single,2
50088,Female,3,Single,2
50089,Male,1,Divorced,6
50090,Female,1,Single,6
50091,Female,3,Single,4
50092,Female,3,Single,6
50093,Male,1,Single,1
50094,Female,3,Single,7
50095,Female,3,Divorced,3
50096,Male,1,Single,9
50097,Female,1,Divorced,7
50098,Male,1,Married,2
50099,Male,3,Married,1
50100,Male,1,Divorced,1
50101,Male,1,Divorced,4
50102,Male,3,Married,5
50103,Female,3,Divorced,2
50104,Female,3,Single,2
50105,Male,1,Single,2
50106,Female,1,Single,8
50107,Male,1,Divorced,2
50108,Male,2,Divorced,9
50109,Female,3,Married,4
50110,Male,1,Divorced,6
50111,Female,3,Divorced,6
50112,Female,1,Divorced,8
50113,Male,3,Single,2
50114,Female,3,Divorced,3
50115,Male,1,Single,1
50116,Female,1,Married,8
50117,Male,3,Divorced,1
50118,Male,1,Married,3
50119,Male,1,Married,2
50120,Male,1,Divorced,1
50121,Male,1,Married,10
50122,Female,1,Divorced,2
50123,Male,1,Divorced,7
50124,Female,1,Divorced,3
50125,Male,1,Divorced,5
50126,Male,1,Married,7
50127,Female,1,Single,1
50128,Male,1,Single,2
50129,Female,1,Single,4
50130,Male,3,Married,3
50131,Female,1,Divorced,1
50132,Female,1,Married,1
50133,Male,1,Married,1
50134,Male,1,Divorced,2
50135,Male,1,Single,1
50136,Male,1,Divorced,2
50137,Male,3,Divorced,4
50138,Male,1,Single,5
50139,Female,3,Divorced,4
50140,Male,1,Single,3
50141,Male,3,Divorced,3
50142,Male,1,Divorced,1
50143,Male,1,Married,2
50144,Male,1,Divorced,1
50145,Male,1,Divorced,1
50146,Male,1,Single,1
50147,Male,1,Divorced,2
50148,Male,1,Divorced,2
50149,Male,3,Divorced,5
50150,Male,1,Single,2
50151,Female,1,Married,3
50152,Female,1,Married,8
50153,Female,3,Married,2
50154,Female,1,Married,2
50155,Male,1,Married,4
50156,Male,1,Divorced,4
50157,Male,3,Divorced,2
50158,Male,3,Single,2
50159,Male,1,Divorced,4
50160,Male,1,Divorced,2
50161,Female,1,Single,2
50162,Male,1,Married,4
50163,Male,1,Married,10
50164,Male,1,Married,3
50165,Female,1,Single,2
50166,Female,1,Single,10
50167,Male,1,Single,5
50168,Female,3,Married,2
50169,Male,3,Single,2
50170,Male,1,Divorced,2
50171,Female,3,Divorced,6
50172,Male,1,Single,2
50173,Male,3,Divorced,1
50174,Male,1,Divorced,5
50175,Male,1,Married,6
50176,Male,3,Single,2
50177,Female,3,Single,2
50178,Male,1,Single,1
50179,Male,3,Divorced,5
50180,Male,1,Married,1
50181,Female,1,Divorced,8
50182,Male,3,Divorced,2
50183,Female,1,Divorced,4
50184,Male,1,Married,3
50185,Male,1,Divorced,1
50186,Male,2,Divorced,4
50187,Male,1,Married,2
50188,Male,1,Married,1
50189,Female,1,Divorced,7
50190,Male,1,Divorced,2
50191,Female,1,Single,1
50192,Female,1,Single,8
50193,Male,1,Divorced,3
50194,Female,1,Single,2
50195,Female,3,Divorced,2
50196,Male,3,Single,2
50197,Male,3,Married,5
50198,Female,1,Single,8
50199,Male,1,Divorced,6
50200,Female,1,Divorced,2
50201,Female,1,Divorced,2
50202,Male,1,Divorced,2
50203,Female,3,Divorced,5
50204,Male,3,Single,4
50205,Male,1,Divorced,5
50206,Female,1,Married,2
50207,Male,3,Divorced,1
50208,Female,1,Single,4
50209,Female,1,Divorced,9
50210,Male,1,Divorced,10
50211,Male,3,Divorced,3
50212,Male,1,Divorced,2
50213,Male,1,Single,1
50214,Female,3,Married,2
50215,Female,3,Divorced,2
50216,Male,1,Married,8
50217,Male,1,Married,1
50218,Female,1,Single,2
50219,Female,3,Married,2
50220,Male,1,Single,1
50221,Male,1,Married,2
50222,Male,1,Single,7
50223,Male,3,Single,4
50224,Female,1,Single,3
50225,Male,3,Divorced,2
50226,Male,2,Married,1
50227,Female,1,Divorced,2
50228,Female,3,Divorced,4
50229,Male,1,Married,5
50230,Female,3,Divorced,8
50231,Male,3,Divorced,2
50232,Male,1,Single,4
50233,Female,3,Single,2
50234,Female,3,Single,5
50235,Male,3,Divorced,5
50236,Male,1,Divorced,3
50237,Female,1,Divorced,4
50238,Male,3,Single,2
50239,Female,3,Single,2
50240,Female,1,Divorced,7
50241,Female,1,Divorced,3
50242,Male,3,Single,2
50243,Male,1,Single,7
50244,Male,3,Divorced,3
50245,Male,1,Single,1
50246,Female,3,Single,2
50247,Male,1,Single,10
50248,Male,1,Single,10
50249,Male,1,Married,2
50250,Male,3,Single,2
50251,Male,1,Single,9
50252,Female,3,Divorced,5
50253,Female,1,Divorced,5
50254,Male,3,Single,9
50255,Female,1,Single,3
50256,Female,3,Married,2
50257,Male,3,Divorced,2
50258,Male,1,Single,1
50259,Female,1,Divorced,2
50260,Male,3,Divorced,2
50261,Male,1,Single,19
50262,Female,1,Married,2
50263,Female,3,Married,8
50264,Female,1,Married,4
50265,Male,1,Single,3
50266,Male,1,Married,2
50267,Female,1,Divorced,7
50268,Male,1,Divorced,5
50269,Female,3,Divorced,10
50270,Female,1,Divorced,2
50271,Male,1,Divorced,8
50272,Female,1,Married,5
50273,Female,3,Single,2
50274,Female,1,Divorced,4
50275,Male,1,Divorced,2
50276,Male,1,Married,2
50277,Female,3,Divorced,10
50278,Female,3,Single,1
50279,Male,3,Divorced,2
50280,Male,1,Married,2
