CustomerID,OrderCount,OrderAmountHikeFromlastYear,CouponUsed,DaySinceLastOrder,CashbackAmount
50001,1.0,11.0,1.0,5.0,159.93
50002,1.0,15.0,0.0,0.0,120.9
50003,1.0,14.0,0.0,3.0,120.28
50004,1.0,23.0,0.0,3.0,134.07
50005,1.0,11.0,1.0,3.0,129.6
50006,6.0,22.0,4.0,7.0,139.19
50007,1.0,14.0,0.0,0.0,120.86000000000001
50008,2.0,16.0,2.0,0.0,122.93
50009,1.0,14.0,0.0,2.0,126.83000000000001
50010,1.0,12.0,1.0,1.0,122.93
50011,15.0,,9.0,8.0,295.45
50012,1.0,13.0,0.0,0.0,153.81
50013,2.0,13.0,2.0,2.0,134.41
50014,1.0,17.0,0.0,0.0,133.88
50015,4.0,16.0,0.0,7.0,196.19
50016,1.0,22.0,1.0,2.0,120.72999999999999
50017,1.0,18.0,1.0,0.0,129.26
50018,1.0,11.0,1.0,3.0,157.44
50019,1.0,24.0,1.0,6.0,160.74
50020,4.0,18.0,1.0,3.0,149.63
50021,7.0,18.0,6.0,7.0,161.72
50022,15.0,12.0,11.0,6.0,203.12
50023,1.0,19.0,0.0,0.0,116.75
50024,2.0,11.0,1.0,2.0,145.59
50025,1.0,15.0,0.0,3.0,206.5
50026,1.0,22.0,1.0,4.0,142.0
50027,1.0,13.0,1.0,6.0,172.95
50028,4.0,20.0,0.0,5.0,123.06
50029,1.0,18.0,1.0,15.0,123.47999999999999
50030,3.0,14.0,2.0,7.0,189.98
50031,1.0,13.0,0.0,9.0,143.19
50032,1.0,17.0,1.0,0.0,161.32
50033,1.0,20.0,1.0,0.0,133.46
50034,2.0,11.0,2.0,11.0,208.55
50035,1.0,18.0,1.0,2.0,122.31
50036,2.0,24.0,0.0,2.0,123.22999999999999
50037,2.0,18.0,0.0,2.0,120.24000000000001
50038,1.0,11.0,0.0,2.0,127.13
50039,1.0,16.0,1.0,4.0,194.39
50040,1.0,15.0,0.0,1.0,125.66
50041,4.0,,2.0,4.0,299.26
50042,1.0,12.0,1.0,8.0,124.50999999999999
50043,7.0,12.0,2.0,4.0,194.19
50044,1.0,22.0,1.0,1.0,186.86
50045,1.0,20.0,0.0,4.0,130.38
50046,1.0,16.0,1.0,1.0,130.58
50047,1.0,21.0,1.0,0.0,123.25
50048,7.0,12.0,4.0,2.0,120.88
50049,6.0,11.0,0.0,10.0,130.72
50050,1.0,11.0,0.0,3.0,150.06
50051,2.0,18.0,1.0,2.0,142.57
50052,1.0,14.0,0.0,2.0,125.0
50053,1.0,22.0,0.0,0.0,111.02000000000001
50054,15.0,25.0,4.0,7.0,204.53
50055,2.0,12.0,1.0,1.0,122.88
50056,1.0,23.0,1.0,2.0,139.29
50057,1.0,15.0,1.0,2.0,123.11000000000001
50058,1.0,22.0,0.0,2.0,131.4
50059,1.0,15.0,0.0,2.0,136.9
50060,1.0,11.0,1.0,3.0,144.5
50061,1.0,13.0,0.0,6.0,127.56
50062,9.0,14.0,,9.0,290.33
50063,2.0,11.0,,15.0,287.22
50064,1.0,17.0,0.0,9.0,195.47
50065,,18.0,0.0,0.0,237.33999999999997
50066,11.0,,1.0,9.0,299.99
50067,1.0,16.0,1.0,3.0,122.78999999999999
50068,1.0,13.0,1.0,1.0,159.16
50069,2.0,14.0,0.0,2.0,120.88999999999999
50070,11.0,23.0,,8.0,267.92
50071,1.0,12.0,0.0,7.0,135.64
50072,1.0,11.0,1.0,2.0,144.25
50073,1.0,16.0,0.0,2.0,152.65
50074,1.0,14.0,0.0,0.0,165.53
50075,1.0,18.0,0.0,7.0,162.61
50076,2.0,19.0,0.0,0.0,142.98
50077,1.0,15.0,0.0,7.0,168.04
50078,2.0,17.0,2.0,0.0,138.15
50079,3.0,15.0,1.0,7.0,127.41
50080,1.0,19.0,0.0,0.0,166.73
50081,1.0,22.0,1.0,9.0,176.39
50082,2.0,16.0,0.0,2.0,123.28
50083,1.0,13.0,1.0,7.0,121.53
50084,1.0,14.0,1.0,2.0,148.76
50085,1.0,16.0,0.0,3.0,193.96
50086,9.0,11.0,7.0,8.0,204.0
50087,5.0,22.0,2.0,8.0,184.74
50088,1.0,14.0,1.0,7.0,199.81
50089,4.0,16.0,1.0,,224.89999999999998
50090,1.0,11.0,1.0,4.0,126.57
50091,,18.0,0.0,0.0,235.91000000000003
50092,1.0,15.0,0.0,1.0,166.96
50093,1.0,14.0,0.0,5.0,120.58000000000001
50094,12.0,12.0,12.0,8.0,188.65
50095,1.0,14.0,1.0,5.0,159.4
50096,3.0,16.0,0.0,7.0,159.14
50097,1.0,21.0,0.0,1.0,126.22
50098,1.0,14.0,0.0,,221.85000000000002
50099,5.0,12.0,1.0,13.0,206.08999999999997
50100,1.0,12.0,1.0,4.0,143.45
50101,1.0,17.0,0.0,0.0,121.77000000000001
50102,5.0,17.0,1.0,8.0,0.0
50103,4.0,14.0,4.0,1.0,179.18
50104,1.0,14.0,1.0,8.0,187.89
50105,1.0,13.0,0.0,1.0,123.88999999999999
50106,2.0,15.0,0.0,2.0,132.12
50107,11.0,,0.0,15.0,292.32
50108,2.0,17.0,2.0,2.0,122.66999999999999
50109,1.0,,1.0,6.0,295.17
50110,1.0,13.0,0.0,4.0,124.36000000000001
50111,,22.0,0.0,9.0,260.64
50112,1.0,20.0,1.0,7.0,127.07
50113,15.0,18.0,,12.0,290.68
50114,1.0,11.0,1.0,2.0,139.31
50115,1.0,14.0,1.0,2.0,137.3
50116,1.0,14.0,0.0,2.0,122.32
50117,2.0,18.0,1.0,2.0,144.65
50118,1.0,16.0,1.0,0.0,130.72
50119,4.0,17.0,2.0,7.0,133.19
50120,1.0,,1.0,7.0,292.02
50121,,12.0,1.0,2.0,236.75
50122,1.0,13.0,0.0,2.0,129.11
50123,5.0,13.0,0.0,9.0,159.57
50124,1.0,14.0,1.0,2.0,139.2
50125,1.0,17.0,0.0,2.0,164.34
50126,1.0,11.0,1.0,0.0,200.48
50127,11.0,25.0,10.0,,209.38
50128,1.0,19.0,0.0,5.0,123.4
50129,1.0,13.0,0.0,2.0,165.45
50130,1.0,14.0,1.0,2.0,169.31
50131,1.0,12.0,1.0,2.0,148.98
50132,7.0,11.0,4.0,8.0,125.93
50133,3.0,,0.0,9.0,294.36
50134,1.0,11.0,1.0,0.0,127.22999999999999
50135,1.0,11.0,1.0,4.0,134.79
50136,1.0,20.0,0.0,3.0,127.94
50137,7.0,18.0,6.0,5.0,152.49
50138,1.0,13.0,0.0,4.0,121.75999999999999
50139,7.0,12.0,,7.0,268.72
50140,1.0,11.0,1.0,0.0,134.85
50141,1.0,19.0,0.0,0.0,166.44
50142,7.0,21.0,1.0,8.0,155.82
50143,1.0,12.0,1.0,5.0,140.0
50144,,14.0,0.0,10.0,234.95999999999998
50145,10.0,11.0,4.0,11.0,132.1
50146,4.0,14.0,,13.0,290.45
50147,9.0,12.0,5.0,,218.49
50148,1.0,23.0,1.0,4.0,120.69999999999999
50149,1.0,14.0,0.0,1.0,165.02
50150,1.0,17.0,1.0,0.0,132.3
50151,,18.0,0.0,2.0,236.02999999999997
50152,6.0,18.0,5.0,,219.95999999999998
50153,7.0,24.0,0.0,7.0,156.05
50154,1.0,20.0,0.0,4.0,163.97
50155,1.0,14.0,,6.0,291.44
50156,1.0,16.0,,3.0,275.84
50157,11.0,25.0,4.0,6.0,149.07
50158,1.0,18.0,0.0,9.0,145.54
50159,1.0,19.0,1.0,8.0,154.15
50160,3.0,13.0,2.0,3.0,147.41
50161,5.0,12.0,1.0,7.0,121.15
50162,1.0,22.0,0.0,0.0,131.61
50163,1.0,14.0,0.0,2.0,157.45
50164,1.0,13.0,1.0,2.0,123.72999999999999
50165,1.0,21.0,0.0,2.0,133.1
50166,1.0,11.0,,2.0,286.65
50167,7.0,12.0,6.0,7.0,144.85
50168,2.0,11.0,0.0,2.0,127.88999999999999
50169,7.0,12.0,7.0,4.0,158.28
50170,1.0,12.0,0.0,2.0,123.25999999999999
50171,,14.0,2.0,8.0,235.25
50172,1.0,13.0,0.0,0.0,114.19999999999999
50173,6.0,15.0,3.0,9.0,180.2
50174,1.0,18.0,0.0,0.0,136.88
50175,1.0,18.0,0.0,2.0,154.82
50176,,19.0,1.0,4.0,260.15
50177,1.0,12.0,1.0,0.0,112.0
50178,1.0,19.0,0.0,7.0,156.61
50179,7.0,11.0,3.0,7.0,169.29
50180,3.0,17.0,3.0,7.0,196.13
50181,1.0,15.0,0.0,8.0,156.74
50182,4.0,14.0,1.0,8.0,154.84
50183,1.0,17.0,1.0,,220.61
50184,1.0,13.0,1.0,2.0,156.6
50185,1.0,12.0,0.0,3.0,148.21
50186,1.0,12.0,0.0,0.0,164.1
50187,9.0,18.0,5.0,11.0,152.1
50188,2.0,18.0,1.0,2.0,126.94999999999999
50189,8.0,11.0,2.0,,218.77999999999997
50190,11.0,14.0,,10.0,270.68
50191,1.0,19.0,0.0,7.0,124.55000000000001
50192,,12.0,1.0,7.0,239.64
50193,7.0,15.0,7.0,7.0,149.41
50194,1.0,12.0,0.0,2.0,124.78
50195,11.0,11.0,6.0,9.0,152.28
50196,1.0,11.0,1.0,4.0,144.78
50197,1.0,12.0,0.0,7.0,175.47
50198,1.0,16.0,1.0,7.0,150.55
50199,2.0,13.0,2.0,2.0,134.64
50200,1.0,13.0,0.0,9.0,157.75
50201,8.0,24.0,3.0,9.0,189.43
50202,13.0,,9.0,3.0,292.72
50203,1.0,18.0,1.0,0.0,152.38
50204,1.0,14.0,1.0,1.0,146.82
50205,1.0,11.0,,1.0,283.0
50206,1.0,11.0,0.0,0.0,152.57
50207,1.0,13.0,0.0,4.0,163.49
50208,1.0,12.0,1.0,3.0,148.69
50209,1.0,16.0,1.0,0.0,199.85
50210,9.0,14.0,7.0,8.0,136.97
50211,1.0,22.0,1.0,2.0,174.57
50212,1.0,11.0,1.0,7.0,121.19
50213,2.0,17.0,2.0,2.0,139.83
50214,1.0,13.0,0.0,2.0,161.18
